probe_id,query,entrezgene,name,symbol,alias,taxid,HGNC,gene,gene_unique
202908_at,WFS1,7466,wolframin ER transmembrane glycoprotein,WFS1,"CTRCT41, WFRS, WFS, WFSL",9606,HGNC:12762,WFS1,WFS1
221887_s_at,DFNB31,25861,whirlin,WHRN,"CIP98, DFNB31, PDZD7B, USH2D, WI",9606,HGNC:16361,DFNB31,DFNB31
212051_at,WIPF2,147179,WAS/WASL interacting protein family member 2,WIPF2,"WICH, WIRE",9606,HGNC:30923,WIPF2,WIPF2
205667_at,WRN,7486,WRN RecQ like helicase,WRN,"RECQ3, RECQL2, RECQL3",9606,HGNC:12791,WRN,WRN
210695_s_at,WWOX,51741,WW domain containing oxidoreductase,WWOX,"D16S432E, DEE28, EIEE28, FOR, FRA16D",9606,HGNC:12799,WWOX,WWOX
200670_at,XBP1,7494,X-box binding protein 1,XBP1,"TREB-5, TREB5, XBP-1, XBP2",9606,HGNC:12801,XBP1,XBP1
209045_at,XPNPEP1,7511,X-prolyl aminopeptidase 1,XPNPEP1,"APP1, SAMP, XPNPEP, XPNPEPL, XPNPEPL1",9606,HGNC:12822,XPNPEP1,XPNPEP1
212166_at,XPO7,23039,exportin 7,XPO7,"EXP7, RANBP16",9606,HGNC:14108,XPO7,XPO7
201161_s_at,CSDA,8531,Y-box binding protein 3,YBX3,"CSDA, CSDA1, DBPA, ZONAB",9606,HGNC:2428,CSDA,CSDA
217784_at,YKT6,10652,YKT6 v-SNARE homolog,YKT6,,9606,HGNC:16959,YKT6,YKT6
201351_s_at,YME1L1,10730,YME1 like 1 ATPase,YME1L1,"FTSH, MEG4, OPA11, PAMP, YME1L",9606,HGNC:12843,YME1L1,YME1L1
221741_s_at,YTHDF1,54915,YTH N6-methyladenosine RNA binding protein 1,YTHDF1,"C20orf21, DF1",9606,HGNC:15867,YTHDF1,YTHDF1
209724_s_at,ZFP161,7541,zinc finger and BTB domain containing 14,ZBTB14,"ZF5, ZFP-161, ZFP-5, ZFP161, ZNF478",9606,HGNC:12860,ZFP161,ZFP161
205340_at,ZBTB24,9841,zinc finger and BTB domain containing 24,ZBTB24,"BIF1, ICF2, PATZ2, ZNF450",9606,HGNC:21143,ZBTB24,ZBTB24
203026_at,ZBTB5,9925,zinc finger and BTB domain containing 5,ZBTB5,,9606,HGNC:23836,ZBTB5,ZBTB5
213390_at,ZC3H4,23211,zinc finger CCCH-type containing 4,ZC3H4,C19orf7,9606,HGNC:17808,ZC3H4,ZC3H4
218249_at,ZDHHC6,64429,zinc finger DHHC-type palmitoyltransferase 6,ZDHHC6,"DHHC-6, DHHC6, ZNF376",9606,HGNC:19160,ZDHHC6,ZDHHC6
202452_at,ZER1,10444,zyg-11 related cell cycle regulator,ZER1,"C9orf60, ZYG, ZYG11BL",9606,HGNC:30960,ZER1,ZER1
201531_at,ZFP36,7538,ZFP36 ring finger protein,ZFP36,"G0S24, GOS24, NUP475, RNF162A, TIS11",9606,HGNC:12862,ZFP36,ZFP36
