probe_id,query,entrezgene,name,symbol,alias,taxid,HGNC,gene,gene_unique
205750_at,BPHL,670,biphenyl hydrolase like,BPHL,"BPH-RP, MCNAA, VACVASE",9606,HGNC:1094,BPHL,BPHL
204531_s_at,BRCA1,672,BRCA1 DNA repair associated,BRCA1,"BRCAI, BRCC1, BROVCA1, FANCS, IRIS",9606,HGNC:1100,BRCA1,BRCA1
202946_s_at,BTBD3,22903,BTB domain containing 3,BTBD3,dJ742J24.1,9606,HGNC:15854,BTBD3,BTBD3
201236_s_at,BTG2,7832,BTG anti-proliferation factor 2,BTG2,"APRO1, PC3, TIS21",9606,HGNC:1131,BTG2,BTG2
205548_s_at,BTG3,10950,BTG anti-proliferation factor 3,BTG3,"ANA, ANA/BTG3, APRO4, TOB5, TOB55",9606,HGNC:1132,BTG3,BTG3
205504_at,BTK,695,Bruton tyrosine kinase,BTK,"AGMX1, AT, ATK, BPK, IGHD3",9606,HGNC:1133,BTK,BTK
203755_at,BUB1B,701,BUB1 mitotic checkpoint serine/threonine kinase B,BUB1B,"BUB1beta, BUBR1, Bub1A, MAD3L, MVA1",9606,HGNC:1149,BUB1B,BUB1B
217809_at,BZW2,28969,basic leucine zipper and W2 domains 2,BZW2,"5MP1, HSPC028, MST017, MSTP017",9606,HGNC:18808,BZW2,BZW2
212875_s_at,C2CD2,25966,C2 calcium dependent domain containing 2,C2CD2,"C21orf25, C21orf258, TMEM24L",9606,HGNC:1266,C2CD2,C2CD2
204757_s_at,C2CD2L,9854,C2CD2 like,C2CD2L,"DLNB23, TMEM24",9606,HGNC:29000,C2CD2L,C2CD2L
212943_at,KIAA0528,9847,C2 calcium dependent domain containing 5,C2CD5,"CDP138, KIAA0528",9606,HGNC:29062,KIAA0528,KIAA0528
205500_at,C5,727,complement C5,C5,"C5D, C5a, C5b, CPAMD4, ECLZB",9606,HGNC:1331,C5,C5
203963_at,CA12,771,carbonic anhydrase 12,CA12,"CA-XII, CAXII, HsT18816, T18816",9606,HGNC:1371,CA12,CA12
217873_at,CAB39,51719,calcium binding protein 39,CAB39,"CGI-66, MO25",9606,HGNC:20292,CAB39,CAB39
202624_s_at,CABIN1,23523,calcineurin binding protein 1,CABIN1,"CAIN, KB-318B8.7, PPP3IN",9606,HGNC:24187,CABIN1,CABIN1
200622_x_at,CALM1,801,calmodulin 1,CALM1,"CALML2, CAM2, CAM3, CAMB, CAMC",9606,HGNC:1442,CALM1///CALM2///CALM3,CALM1
200757_s_at,CALU,813,calumenin,CALU,,9606,HGNC:1458,CALU,CALU
212765_at,CAMSAP1L1,23271,calmodulin regulated spectrin associated protein family member 2,CAMSAP2,CAMSAP1L1,9606,HGNC:29188,CAMSAP1L1,CAMSAP1L1
221732_at,CANT1,124583,calcium activated nucleotidase 1,CANT1,"DBQD, DBQD1, EDM7, SCAN-1, SCAN1",9606,HGNC:19721,CANT1,CANT1
200752_s_at,CAPN1,823,calpain 1,CAPN1,"CANP, CANP1, CANPL1, SPG76, muCANP",9606,HGNC:1476,CAPN1,CAPN1
219573_at,LRRC16A,55604,capping protein regulator and myosin 1 linker 1,CARMIL1,"CARMIL, CARMIL1a, LRRC16, LRRC16A, dJ501N12.1",9606,HGNC:21581,LRRC16A,LRRC16A
207842_s_at,CASC3,22794,CASC3 exon junction complex subunit,CASC3,"BTZ, MLN51",9606,HGNC:17040,CASC3,CASC3
207620_s_at,CASK,8573,calcium/calmodulin dependent serine protein kinase,CASK,"CAGH39, CAMGUK, CMG, FGS4, LIN2",9606,HGNC:1497,CASK,CASK
205467_at,CASP10,843,caspase 10,CASP10,"ALPS2, FLICE-2, FLICE2, MCH4",9606,HGNC:1500,CASP10,CASP10
208050_s_at,CASP2,835,caspase 2,CASP2,"CASP-2, ICH1, NEDD-2, NEDD2, PPP1R57",9606,HGNC:1503,CASP2,CASP2
202763_at,CASP3,836,caspase 3,CASP3,"CPP32, CPP32B, SCA-1",9606,HGNC:1504,CASP3,CASP3
207181_s_at,CASP7,840,caspase 7,CASP7,"CASP-7, CMH-1, ICE-LAP3, LICE2, MCH3",9606,HGNC:1508,CASP7,CASP7
208908_s_at,CAST,831,calpastatin,CAST,"BS-17, PLACK",9606,HGNC:1515,CAST,CAST
201432_at,CAT,847,catalase,CAT,,9606,HGNC:1516,CAT,CAT
209682_at,CBLB,868,Cbl proto-oncogene B,CBLB,"Cbl-b, Nbla00127, RNF56",9606,HGNC:1542,CBLB,CBLB
209213_at,CBR1,873,carbonyl reductase 1,CBR1,"CBR, PG-9-KR, SDR21C1, hCBR1",9606,HGNC:1548,CBR1,CBR1
205379_at,CBR3,874,carbonyl reductase 3,CBR3,"HEL-S-25, SDR21C2, hCBR3",9606,HGNC:1549,CBR3,CBR3
204610_s_at,CCDC85B,11007,coiled-coil domain containing 85B,CCDC85B,DIPA,9606,HGNC:24926,CCDC85B,CCDC85B
203119_at,CCDC86,79080,coiled-coil domain containing 86,CCDC86,,9606,HGNC:28359,CCDC86,CCDC86
218175_at,CCDC92,80212,coiled-coil domain containing 92,CCDC92,,9606,HGNC:29563,CCDC92,CCDC92
216598_s_at,CCL2,6347,C-C motif chemokine ligand 2,CCL2,"GDCF-2, HC11, HSMCR30, MCAF, MCP-1",9606,HGNC:10618,CCL2,CCL2
205899_at,CCNA1,8900,cyclin A1,CCNA1,CT146,9606,HGNC:1577,CCNA1,CCNA1
203418_at,CCNA2,890,cyclin A2,CCNA2,"CCN1, CCNA",9606,HGNC:1578,CCNA2,CCNA2
214710_s_at,CCNB1,891,cyclin B1,CCNB1,CCNB,9606,HGNC:1579,CCNB1,CCNB1
202705_at,CCNB2,9133,cyclin B2,CCNB2,HsT17299,9606,HGNC:1580,CCNB2,CCNB2
208711_s_at,CCND1,595,cyclin D1,CCND1,"BCL1, D11S287E, PRAD1, U21B31",9606,HGNC:1582,CCND1,CCND1
201700_at,CCND3,896,cyclin D3,CCND3,,9606,HGNC:1585,CCND3,CCND3
205034_at,CCNE2,9134,cyclin E2,CCNE2,CYCE2,9606,HGNC:1590,CCNE2,CCNE2
204826_at,CCNF,899,cyclin F,CCNF,"FBX1, FBXO1, FTDALS5",9606,HGNC:1591,CCNF,CCNF
204093_at,CCNH,902,cyclin H,CCNH,"CAK, CycH, p34, p37",9606,HGNC:1594,CCNH,CCNH
204662_at,CP110,9738,centriolar coiled-coil protein 110,CCP110,"CP110, Cep110",9606,HGNC:24342,CP110,CP110
201743_at,CD14,929,CD14 molecule,CD14,,9606,HGNC:1628,CD14,CD14
206398_s_at,CD19,930,CD19 molecule,CD19,"B4, CVID3",9606,HGNC:1633,CD19,CD19
218529_at,CD320,51293,CD320 molecule,CD320,"8D6, 8D6A, TCBLR, TCN2R",9606,HGNC:16692,CD320,CD320
205153_s_at,CD40,958,CD40 molecule,CD40,"Bp50, CDW40, TNFRSF5, p50",9606,HGNC:11919,CD40,CD40
204489_s_at,CD44,960,CD44 molecule (Indian blood group),CD44,"CDW44, CSPG8, ECMR-III, HCELL, HUTCH-I",9606,HGNC:1681,CD44,CD44
205173_x_at,CD58,965,CD58 molecule,CD58,"LFA-3, LFA3, ag3",9606,HGNC:1688,CD58,CD58
202870_s_at,CDC20,991,cell division cycle 20,CDC20,"CDC20A, bA276H19.3, p55CDC",9606,HGNC:1723,CDC20,CDC20
204695_at,CDC25A,993,cell division cycle 25A,CDC25A,CDC25A2,9606,HGNC:1725,CDC25A,CDC25A
201853_s_at,CDC25B,994,cell division cycle 25B,CDC25B,,9606,HGNC:1726,CDC25B,CDC25B
208728_s_at,CDC42,998,cell division cycle 42,CDC42,"CDC42Hs, G25K, TKS",9606,HGNC:1736,CDC42,CDC42
204126_s_at,CDC45L,8318,cell division cycle 45,CDC45,"CDC45L, CDC45L2, MGORS7, PORC-PI-1",9606,HGNC:1739,CDC45L,CDC45L
218399_s_at,CDCA4,55038,cell division cycle associated 4,CDCA4,"HEPP, SEI-3/HEPP",9606,HGNC:14625,CDCA4,CDCA4
203256_at,CDH3,1001,cadherin 3,CDH3,"CDHP, HJMD, PCAD",9606,HGNC:1762,CDH3,CDH3
212899_at,CDC2L6,23097,cyclin dependent kinase 19,CDK19,"CDC2L6, CDK11, DEE87, EIEE87, bA346C16.3",9606,HGNC:19338,CDC2L6,CDC2L6
204252_at,CDK2,1017,cyclin dependent kinase 2,CDK2,"CDKN2, p33(CDK2)",9606,HGNC:1771,CDK2,CDK2
202246_s_at,CDK4,1019,cyclin dependent kinase 4,CDK4,"CMM3, PSK-J3",9606,HGNC:1773,CDK4,CDK4
204995_at,CDK5R1,8851,cyclin dependent kinase 5 regulatory subunit 1,CDK5R1,"CDK5P35, CDK5R, NCK5A, p23, p25",9606,HGNC:1775,CDK5R1,CDK5R1
207143_at,CDK6,1021,cyclin dependent kinase 6,CDK6,"MCPH12, PLSTIRE",9606,HGNC:1777,CDK6,CDK6
211297_s_at,CDK7,1022,cyclin dependent kinase 7,CDK7,"CAK, CAK1, CDKN7, HCAK, MO15",9606,HGNC:1778,CDK7,CDK7
202284_s_at,CDKN1A,1026,cyclin dependent kinase inhibitor 1A,CDKN1A,"CAP20, CDKN1, CIP1, MDA-6, P21",9606,HGNC:1784,CDKN1A,CDKN1A
209112_at,CDKN1B,1027,cyclin dependent kinase inhibitor 1B,CDKN1B,"CDKN4, KIP1, MEN1B, MEN4, P27KIP1",9606,HGNC:1785,CDKN1B,CDKN1B
207039_at,CDKN2A,1029,cyclin dependent kinase inhibitor 2A,CDKN2A,"ARF, CDK4I, CDKN2, CMM2, INK4",9606,HGNC:1787,CDKN2A,CDKN2A
204039_at,CEBPA,1050,CCAAT enhancer binding protein alpha,CEBPA,"C/EBP-alpha, CEBP",9606,HGNC:1833,CEBPA,CEBPA
203973_s_at,CEBPD,1052,CCAAT enhancer binding protein delta,CEBPD,"C/EBP-delta, CELF, CRP3, NF-IL6-beta",9606,HGNC:1835,CEBPD,CEBPD
203341_at,CEBPZ,10153,CCAAT enhancer binding protein zeta,CEBPZ,"CBF, CBF2, HSP-CBF, NOC1",9606,HGNC:24218,CEBPZ,CEBPZ
218113_at,TMEM2,23670,cell migration inducing hyaluronidase 2,CEMIP2,TMEM2,9606,HGNC:11869,TMEM2,TMEM2
205046_at,CENPE,1062,centromere protein E,CENPE,"CENP-E, KIF10, MCPH13, PPP1R61",9606,HGNC:1856,CENPE,CENPE
218542_at,CEP55,55165,centrosomal protein 55,CEP55,"C10orf3, CT111, MARCH, URCC6",9606,HGNC:1161,CEP55,CEP55
203494_s_at,CEP57,9702,centrosomal protein 57,CEP57,"MVA2, PIG8, TSP57",9606,HGNC:30794,CEP57,CEP57
218421_at,CERK,64781,ceramide kinase,CERK,"LK4, dA59H18.2, dA59H18.3, hCERK",9606,HGNC:19256,CERK,CERK
209662_at,CETN3,1070,centrin 3,CETN3,"CDC31, CEN3",9606,HGNC:1868,CETN3,CETN3
209939_x_at,CFLAR,8837,CASP8 and FADD like apoptosis regulator,CFLAR,"CASH, CASP8AP1, CLARP, Casper, FLAME",9606,HGNC:1876,CFLAR,CFLAR
204605_at,CGRRF1,10668,cell growth regulator with ring finger domain 1,CGRRF1,"CGR19, RNF197",9606,HGNC:15528,CGRRF1,CGRRF1
219270_at,CHAC1,79094,ChaC glutathione specific gamma-glutamylcyclotransferase 1,CHAC1,,9606,HGNC:28680,CHAC1,CHAC1
218642_s_at,CHCHD7,79145,coiled-coil-helix-coiled-coil-helix domain containing 7,CHCHD7,COX23,9606,HGNC:28314,CHCHD7,CHCHD7
205393_s_at,CHEK1,1111,checkpoint kinase 1,CHEK1,CHK1,9606,HGNC:1925,CHEK1,CHEK1
210416_s_at,CHEK2,11200,checkpoint kinase 2,CHEK2,"CDS1, CHK2, HuCds1, LFS2, PP1425",9606,HGNC:16627,CHEK2,CHEK2
202230_s_at,CHERP,10523,calcium homeostasis endoplasmic reticulum protein,CHERP,"DAN16, SCAF6, SRA1",9606,HGNC:16930,CHERP,CHERP
219492_at,CHIC2,26511,cysteine rich hydrophobic domain 2,CHIC2,BTL,9606,HGNC:1935,CHIC2,CHIC2
218571_s_at,CHMP4A,29082,charged multivesicular body protein 4A,CHMP4A,"C14orf123, CHMP4, CHMP4B, HSPC134, SHAX2",9606,HGNC:20274,CHMP4A,CHMP4A
218743_at,CHMP6,79643,charged multivesicular body protein 6,CHMP6,VPS20,9606,HGNC:25675,CHMP6,CHMP6
212624_s_at,CHN1,1123,chimerin 1,CHN1,"ARHGAP2, CHN, DURS2, NC, RHOGAP2",9606,HGNC:1943,CHN1,CHN1
218742_at,NARFL,64428,cytosolic iron-sulfur assembly component 3,CIAO3,"HPRN, IOP1, LET1L, NAR1, NARFL",9606,HGNC:14179,NARFL,NARFL
208424_s_at,CIAPIN1,57019,cytokine induced apoptosis inhibitor 1,CIAPIN1,"Anamorsin, CIAE2, DRE2, PRO0915",9606,HGNC:28050,CIAPIN1,CIAPIN1
200810_s_at,CIRBP,1153,cold inducible RNA binding protein,CIRBP,CIRP,9606,HGNC:1982,CIRBP,CIRBP
218597_s_at,CISD1,55847,CDGSH iron sulfur domain 1,CISD1,"C10orf70, MDS029, ZCD1, mitoNEET",9606,HGNC:30880,CISD1,CISD1
221223_x_at,CISH,1154,cytokine inducible SH2 containing protein,CISH,"BACTS2, CIS, CIS-1, G18, SOCS",9606,HGNC:1984,CISH,CISH
200884_at,CKB,1152,creatine kinase B,CKB,"B-CK, BCK, CKBB, CPK-B, HEL-211",9606,HGNC:1991,CKB,CKB
204978_at,SFRS16,11129,CLK4 associating serine/arginine rich protein,CLASRP,"CLASP, SFRS16, SWAP2",9606,HGNC:17731,SFRS16,SFRS16
201735_s_at,CLCN3,1182,chloride voltage-gated channel 3,CLCN3,"CLC3, ClC-3, NEDHYBA, NEDSBA",9606,HGNC:2021,CLCN3,CLCN3
201560_at,CLIC4,25932,chloride intracellular channel 4,CLIC4,"CLIC4L, H1, MTCLIC, huH1, p64H1",9606,HGNC:13518,CLIC4,CLIC4
204809_at,CLPX,10845,caseinolytic mitochondrial matrix peptidase chaperone subunit X,CLPX,EPP2,9606,HGNC:2088,CLPX,CLPX
201561_s_at,CLSTN1,22883,calsyntenin 1,CLSTN1,"ALC-ALPHA, CDHR12, CST-1, CSTN1, PIK3CD",9606,HGNC:17447,CLSTN1,CLSTN1
205172_x_at,CLTB,1212,clathrin light chain B,CLTB,LCB,9606,HGNC:2091,CLTB,CLTB
200614_at,CLTC,1213,clathrin heavy chain,CLTC,"CHC, CHC17, CLH-17, CLTCL2, Hc",9606,HGNC:2092,CLTC,CLTC
217870_s_at,CMPK1,51727,cytidine/uridine monophosphate kinase 1,CMPK1,"CK, CMK, CMPK, UMK, UMP-CMPK",9606,HGNC:18170,CMPK1,CMPK1
217752_s_at,CNDP2,55748,carnosine dipeptidase 2,CNDP2,"CN2, CPGL, HEL-S-13, HsT2298, PEPA",9606,HGNC:24437,CNDP2,CNDP2
203291_at,CNOT4,4850,CCR4-NOT transcription complex subunit 4,CNOT4,"CLONE243, NOT4, NOT4H",9606,HGNC:7880,CNOT4,CNOT4
217931_at,CNPY3,10695,canopy FGF signaling regulator 3,CNPY3,"CAG4A, DEE60, EIEE60, ERDA5, PRAT4A",9606,HGNC:11968,CNPY3,CNPY3
201913_s_at,COASY,80347,Coenzyme A synthase,COASY,"DPCK, NBIA6, NBP, PCH12, PPAT",9606,HGNC:29932,COASY,COASY
203073_at,COG2,22796,component of oligomeric golgi complex 2,COG2,"CDG2Q, LDLC",9606,HGNC:6546,COG2,COG2
212189_s_at,COG4,25839,component of oligomeric golgi complex 4,COG4,"CDG2J, COD1, SWILS",9606,HGNC:18620,COG4,COG4
213190_at,COG7,91949,component of oligomeric golgi complex 7,COG7,CDG2E,9606,HGNC:18622,COG7,COG7
202310_s_at,COL1A1,1277,collagen type I alpha 1 chain,COL1A1,"CAFYD, EDSARTH1, EDSC, OI1, OI2",9606,HGNC:2197,COL1A1,COL1A1
211980_at,COL4A1,1282,collagen type IV alpha 1 chain,COL4A1,"BSVD, BSVD1, COL4A1s, PADMAL, RATOR",9606,HGNC:2202,COL4A1,COL4A1
213110_s_at,COL4A5,1287,collagen type IV alpha 5 chain,COL4A5,"ASLN, ATS, ATS1, CA54",9606,HGNC:2207,COL4A5,COL4A5
201098_at,COPB2,9276,COPI coat complex subunit beta 2,COPB2,"MCPH19, OPDD, beta'-COP",9606,HGNC:2232,COPB2,COPB2
209029_at,COPS7A,50813,COP9 signalosome subunit 7A,COPS7A,"CSN7, CSN7A, SGN7a",9606,HGNC:16758,COPS7A,COPS7A
221227_x_at,COQ3,51805,"coenzyme Q3, methyltransferase",COQ3,"DHHBMT, DHHBMTASE, UG0215E05, bA9819.1",9606,HGNC:18175,COQ3,COQ3
218168_s_at,CABC1,56997,coenzyme Q8A,COQ8A,"ADCK3, ARCA2, CABC1, COQ10D4, COQ8",9606,HGNC:16812,CABC1,CABC1
209083_at,CORO1A,11151,coronin 1A,CORO1A,"CLABP, CLIPINA, HCORO1, IMD8, TACO",9606,HGNC:2252,CORO1A,CORO1A
202119_s_at,CPNE3,8895,copine 3,CPNE3,"CPN3, PRO1071",9606,HGNC:2316,CPNE3,CPNE3
206688_s_at,CPSF4,10898,cleavage and polyadenylation specific factor 4,CPSF4,"CPSF30, NAR, NEB-1, NEB1",9606,HGNC:2327,CPSF4,CPSF4
212115_at,HN1L,57585,cramped chromatin regulator homolog 1,CRAMP1,"CRAMP1L, HN1L, TCE4",9606,HGNC:14122,HN1L,HN1L
204313_s_at,CREB1,1385,cAMP responsive element binding protein 1,CREB1,"CREB, CREB-1",9606,HGNC:2345,CREB1,CREB1
212345_s_at,CREB3L2,64764,cAMP responsive element binding protein 3 like 2,CREB3L2,BBF2H7,9606,HGNC:23720,CREB3L2,CREB3L2
201200_at,CREG1,8804,cellular repressor of E1A stimulated genes 1,CREG1,CREG,9606,HGNC:2351,CREG1,CREG1
218358_at,CRELD2,79174,cysteine rich with EGF like domains 2,CRELD2,,9606,HGNC:28150,CRELD2,CRELD2
202224_at,CRK,1398,"CRK proto-oncogene, adaptor protein",CRK,"CRKII, p38",9606,HGNC:2362,CRK,CRK
212180_at,CRKL,1399,"CRK like proto-oncogene, adaptor protein",CRKL,,9606,HGNC:2363,CRKL,CRKL
201380_at,CRTAP,10491,cartilage associated protein,CRTAP,"CASP, LEPREL3, OI7, P3H5",9606,HGNC:2379,CRTAP,CRTAP
202950_at,CRYZ,1429,crystallin zeta,CRYZ,,9606,HGNC:2419,CRYZ,CRYZ
202329_at,CSK,1445,C-terminal Src kinase,CSK,,9606,HGNC:2444,CSK,CSK
206562_s_at,CSNK1A1,1452,casein kinase 1 alpha 1,CSNK1A1,"CK1, CK1a, CKIa, HEL-S-77p, HLCDGP1",9606,HGNC:2451,CSNK1A1,CSNK1A1
202332_at,CSNK1E,1454,casein kinase 1 epsilon,CSNK1E,"CKIe, CKIepsilon, HCKIE",9606,HGNC:2453,CSNK1E,CSNK1E
203575_at,CSNK2A2,1459,casein kinase 2 alpha 2,CSNK2A2,"CK2A2, CK2alpha', CSNK2A1",9606,HGNC:2459,CSNK2A2,CSNK2A2
200621_at,CSRP1,1465,cysteine and glycine rich protein 1,CSRP1,"CRP, CRP1, CSRP, CYRP, D1S181E",9606,HGNC:2469,CSRP1,CSRP1
202521_at,CTCF,10664,CCCTC-binding factor,CTCF,"CFAP108, FAP108, MRD21",9606,HGNC:13723,CTCF,CTCF
202468_s_at,CTNNAL1,8727,catenin alpha like 1,CTNNAL1,"ACRP, CLLP, alpha-CATU",9606,HGNC:2512,CTNNAL1,CTNNAL1
208407_s_at,CTNND1,1500,catenin delta 1,CTNND1,"BCDS2, CAS, CTNND, P120CAS, P120CTN",9606,HGNC:2515,CTNND1,CTNND1
204925_at,CTNS,1497,"cystinosin, lysosomal cystine transporter",CTNS,"CTNS-LSB, PQLC4, SLC66A4",9606,HGNC:2518,CTNS,CTNS
200766_at,CTSD,1509,cathepsin D,CTSD,"CLN10, CPSD, HEL-S-130P",9606,HGNC:2529,CTSD,CTSD
202087_s_at,CTSL1,1514,cathepsin L,CTSL,"CATL, CTSL1, MEP",9606,HGNC:2537,CTSL1,CTSL1
210074_at,CTSL2,1515,cathepsin V,CTSV,"CATL2, CTSL2, CTSU",9606,HGNC:2538,CTSL2,CTSL2
214074_s_at,CTTN,2017,cortactin,CTTN,EMS1,9606,HGNC:3338,CTTN,CTTN
209774_x_at,CXCL2,2920,C-X-C motif chemokine ligand 2,CXCL2,"CINC-2a, GRO2, GROb, MGSA-b, MIP-2a",9606,HGNC:4603,CXCL2,CXCL2
211919_s_at,CXCR4,7852,C-X-C motif chemokine receptor 4,CXCR4,"CD184, D2S201E, FB22, HM89, HSY3RR",9606,HGNC:2561,CXCR4,CXCR4
209163_at,CYB561,1534,cytochrome b561,CYB561,"CYB561A1, FRRS2, ORTHYP2",9606,HGNC:2571,CYB561,CYB561
208905_at,CYCS,54205,"cytochrome c, somatic",CYCS,"CYC, HCS, THC4",9606,HGNC:19986,CYCS,CYCS
202880_s_at,CYTH1,9267,cytohesin 1,CYTH1,"B2-1, CYTOHESIN-1, D17S811E, PSCD1, SEC7",9606,HGNC:9501,CYTH1,CYTH1
205417_s_at,DAG1,1605,dystroglycan 1,DAG1,"156DAG, A3a, AGRNR, DAG, LGMDR16",9606,HGNC:2666,DAG1,DAG1
221934_s_at,DALRD3,55152,DALR anticodon binding domain containing 3,DALRD3,"DEE86, EIEE86",9606,HGNC:25536,DALRD3///LOC100133719,DALRD3
201763_s_at,DAXX,1616,death domain associated protein,DAXX,"BING2, DAP6, EAP1, SMIM40",9606,HGNC:2681,DAXX,DAXX
203302_at,DCK,1633,deoxycytidine kinase,DCK,,9606,HGNC:2704,DCK,DCK
201572_x_at,DCTD,1635,dCMP deaminase,DCTD,,9606,HGNC:2710,DCTD,DCTD
212851_at,DCUN1D4,23142,defective in cullin neddylation 1 domain containing 4,DCUN1D4,DCNL4,9606,HGNC:28998,DCUN1D4,DCUN1D4
203409_at,DDB2,1643,damage specific DNA binding protein 2,DDB2,"DDBB, UV-DDB2, XPE",9606,HGNC:2718,DDB2,DDB2
202887_s_at,DDIT4,54541,DNA damage inducible transcript 4,DDIT4,"Dig2, REDD-1, REDD1",9606,HGNC:24944,DDIT4,DDIT4
1007_s_at,DDR1,780,discoidin domain receptor tyrosine kinase 1,DDR1,"CAK, CD167, DDR, EDDR1, HGK2",9606,HGNC:2730,DDR1,DDR1
204977_at,DDX10,1662,DEAD-box helicase 10,DDX10,"Dbp4, HRH-J8",9606,HGNC:2735,DDX10,DDX10
201788_at,DDX42,11325,DEAD-box helicase 42,DDX42,"DDX42P, RHELP, RNAHP, SF3B8, SF3b125",9606,HGNC:18676,DDX42,DDX42
210811_s_at,DDX49,54555,DEAD-box helicase 49,DDX49,"Dbp8, R27090_2",9606,HGNC:18684,DDX49,DDX49
202447_at,DECR1,1666,"2,4-dienoyl-CoA reductase 1",DECR1,"DECR, NADPH, SDR18C1",9606,HGNC:2753,DECR1,DECR1
221081_s_at,DENND2D,79961,DENN domain containing 2D,DENND2D,,9606,HGNC:26192,DENND2D,DENND2D
218102_at,DERA,51071,deoxyribose-phosphate aldolase,DERA,"CGI-26, DEOC",9606,HGNC:24269,DERA,DERA
203277_at,DFFA,1676,DNA fragmentation factor subunit alpha,DFFA,"DFF-45, DFF1, ICAD",9606,HGNC:2772,DFFA,DFFA
206752_s_at,DFFB,1677,DNA fragmentation factor subunit beta,DFFB,"CAD, CPAN, DFF-40, DFF2, DFF40",9606,HGNC:2773,DFFB,DFFB
218547_at,DHDDS,79947,dehydrodolichyl diphosphate synthase subunit,DHDDS,"CIT, CPT, DEDSM, DS, HDS",9606,HGNC:20603,DHDDS,DHDDS
207831_x_at,DHPS,1725,deoxyhypusine synthase,DHPS,"DHS, DS, MIG13, NEDSSWI",9606,HGNC:2869,DHPS,DHPS
210788_s_at,DHRS7,51635,dehydrogenase/reductase 7,DHRS7,"CGI-86, SDR34C1, retDSR4, retSDR4",9606,HGNC:21524,DHRS7,DHRS7
212648_at,DHX29,54505,DExH-box helicase 29,DHX29,DDX29,9606,HGNC:15815,DHX29,DHX29
203334_at,DHX8,1659,DEAH-box helicase 8,DHX8,"DDX8, Dhr2, HRH1, PRP22, PRPF22",9606,HGNC:2749,DHX8,DHX8
213689_x_at,FAM69A,388650,divergent protein kinase domain 1A,DIPK1A,FAM69A,9606,HGNC:32213,FAM69A,FAM69A
209095_at,DLD,1738,dihydrolipoamide dehydrogenase,DLD,"DLDD, DLDH, E3, GCSL, LAD",9606,HGNC:2898,DLD,DLD
203764_at,DLGAP5,9787,DLG associated protein 5,DLGAP5,"DLG7, HURP",9606,HGNC:16864,DLGAP5,DLGAP5
213995_at,ATP5S,27109,distal membrane arm assembly component 2 like,DMAC2L,"ATP5S, ATPW, FB, HSU79253",9606,HGNC:18799,ATP5S,ATP5S
203301_s_at,DMTF1,9988,cyclin D binding myb like transcription factor 1,DMTF1,"DMP1, DMTF, MRUL, hDMP1",9606,HGNC:14603,DMTF1,DMTF1
205963_s_at,DNAJA3,9093,DnaJ heat shock protein family (Hsp40) member A3,DNAJA3,"HCA57, TID1, hTID-1",9606,HGNC:11808,DNAJA3,DNAJA3
200666_s_at,DNAJB1,3337,DnaJ heat shock protein family (Hsp40) member B1,DNAJB1,"HSPF1, Hdj1, Hsp40, RSPH16B, Sis1",9606,HGNC:5270,DNAJB1,DNAJB1
202866_at,DNAJB12,54788,DnaJ heat shock protein family (Hsp40) member B12,DNAJB12,DJ10,9606,HGNC:14891,DNAJB12,DNAJB12
202500_at,DNAJB2,3300,DnaJ heat shock protein family (Hsp40) member B2,DNAJB2,"CMT2T, DSMA5, HSJ-1, HSJ1, HSPF3",9606,HGNC:5228,DNAJB2,DNAJB2
209015_s_at,DNAJB6,10049,DnaJ heat shock protein family (Hsp40) member B6,DNAJB6,"DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2",9606,HGNC:14888,DNAJB6,DNAJB6
218435_at,DNAJC15,29103,DnaJ heat shock protein family (Hsp40) member C15,DNAJC15,"DNAJD1, HSD18, MCJ",9606,HGNC:20325,DNAJC15,DNAJC15
215116_s_at,DNM1,1759,dynamin 1,DNM1,"DEE31, DNM, EIEE31",9606,HGNC:2972,DNM1,DNM1
203105_s_at,DNM1L,10059,dynamin 1 like,DNM1L,"DLP1, DRP1, DVLP, DYMPLE, EMPF",9606,HGNC:2973,DNM1L,DNM1L
201697_s_at,DNMT1,1786,DNA methyltransferase 1,DNMT1,"ADCADN, AIM, CXXC9, DNMT, HSN1E",9606,HGNC:2976,DNMT1,DNMT1
218457_s_at,DNMT3A,1788,DNA methyltransferase 3 alpha,DNMT3A,"DNMT3A2, HESJAS, M.HsaIIIA, TBRS",9606,HGNC:2978,DNMT3A,DNMT3A
202776_at,DNTTIP2,30836,deoxynucleotidyltransferase terminal interacting protein 2,DNTTIP2,"ERBP, FCF2, HSU15552, LPTS-RP2, TdIF2",9606,HGNC:24013,DNTTIP2,DNTTIP2
209691_s_at,DOK4,55715,docking protein 4,DOK4,"IRS-5, IRS5",9606,HGNC:19868,DOK4,DOK4
204514_at,DPH2,1802,diphthamide biosynthesis 2,DPH2,DPH2L2,9606,HGNC:3004,DPH2,DPH2
203258_at,DRAP1,10589,DR1 associated protein 1,DRAP1,NC2-alpha,9606,HGNC:3019,DRAP1,DRAP1
218854_at,DSE,29940,dermatan sulfate epimerase,DSE,"DS-epi1, DSEP, DSEPI, EDSMC2, SART-2",9606,HGNC:21144,DSE,DSE
217901_at,DSG2,1829,desmoglein 2,DSG2,"CDHF5, HDGC",9606,HGNC:3049,DSG2,DSG2
